hid;bez;lat;lng;coordinate
10091;S Schöneweide/Sterndamm (Berlin);52.453.921.000.000;13.509.993.000.000;0101000000DBFB54151A3A4A40BB6070CD1D052B40
10092;S Schönholz (Berlin);52.571.901.000.000;13.380.242.000.000;01010000005CC64D0D34494A409B215514AFC22A40
10093;S Sonnenallee (Berlin);52.473.843.000.000;13.455.986.000.000;010100000022382EE3A63C4A4022DE3AFF76E92A40
10094;S Sonnenallee/Saalestr. (Berlin);52.472.215.000.000;13.454.458.000.000;01010000001FD7868A713C4A40A7CF0EB8AEE82A40
10095;S Spandau Bhf (Berlin);52.534.798.000.000;13.197.477.000.000;0101000000ADFBC74274444A40A46C91B41B652A40
10096;S Spindlersfeld (Berlin);52.445.938.000.000;13.562.701.000.000;01010000009605137F14394A405EDA70581A202B40
10097;S Springpfuhl (Berlin);52.525.806.000.000;13.536.904.000.000;010100000032056B9C4D434A40E42EC214E5122B40
10098;S Storkower Str. (Berlin);52.524.195.000.000;13.464.884.000.000;010100000005DD5ED218434A4009DE904605EE2A40
10099;S Stresow (Berlin);52.532.505.000.000;13.209.130.000.000;01010000006EFAB31F29444A4097395D16136B2A40
10100;S Sundgauer Str. (Berlin);52.436.187.000.000;13.273.501.000.000;01010000005DF8C1F9D4374A40BAD8B452088C2A40
10101;S Südende (Berlin);52.448.899.000.000;13.354.077.000.000;0101000000821ABE8575394A4016889E9449B52A40
10102;S Südkreuz Bhf (Berlin);52.475.468.000.000;13.365.579.000.000;0101000000B325AB22DC3C4A407235B22B2DBB2A40
10103;S Südkreuz Bhf/Ostseite (Berlin);52.474.505.000.000;13.367.183.000.000;0101000000ED647094BC3C4A405A4B0169FFBB2A40
10104;S Tegel (Berlin);52.588.805.000.000;13.288.695.000.000;0101000000535C55F65D4B4A409609BFD4CF932A40
10105;S Tiergarten (Berlin);52.513.959.000.000;13.336.241.000.000;0101000000103E9468C9414A400F26C5C727AC2A40
10106;S Treptower Park (Berlin);52.493.022.000.000;13.460.887.000.000;0101000000B11A4B581B3F4A40984D8061F9EB2A40
10107;S Waidmannslust (Berlin);52.606.814.000.000;13.320.549.000.000;0101000000A260C614AC4D4A40F0879FFF1EA42A40
10108;S Wannsee Bhf (Berlin);52.421.457.000.000;13.179.099.000.000;0101000000CBD58F4DF2354A401C7E37DDB25B2A40
10109;S Warschauer Str. (Berlin);52.507.983.000.000;13.450.546.000.000;010100000045F6419605414A40EEAF1EF7ADE62A40
10110;S Wartenberg (Berlin);52.573.266.000.000;13.504.238.000.000;010100000051F4C0C760494A4008CDAE7B2B022B40
10111;S Westend (Berlin);52.518.610.000.000;13.284.237.000.000;010100000075B0FECF61424A4055A0168387912A40
10112;S Westkreuz (Berlin);52.501.152.000.000;13.283.036.000.000;01010000009929ADBF25404A406A2E3718EA902A40
10113;S Wilhelmshagen (Berlin);52.438.571.000.000;13.721.004.000.000;0101000000ADFC321823384A400492B06F27712B40
10114;S Wilhelmsruh (Berlin);52.581.588.000.000;13.363.284.000.000;01010000007FDFBF79714A4A40F451465C00BA2A40
